Table 5. Comparison of SARS with other optimal solution heuristics on the VRPTW dataset with 25 customers.
Instance	Optimal Solution	SARS	Gap
TD	NV	CT	TD	NV	CT
C101	191.3	3	0.6	191.3	3	9.7	0.00
C102	190.3	3	1.9	190.3	3	9.6	0.00
C103	190.3	3	4.0	190.3	3	9.3	0.00
C104	186.9	3	8.5	186.9	3	9.5	0.00
C105	191.3	3	0.6	191.3	3	9.8	0.00
C106	191.3	3	0.6	191.3	3	9.5	0.00
C107	191.3	3	0.6	191.3	3	9.5	0.00
C108	191.3	3	0.6	191.3	3	9.4	0.00
C109	191.3	3	0.9	191.3	3	8.8	0.00
C201	214.7	2	a	214.7	2	4.0	0.00
C202	214.7	2	a	214.7	2	4.9	0.00
C203	214.7	2	a	214.7	2	2.9	0.00
C204	213.1	2	a	213.1	2	2.6	0.00
C205	214.7	2	a	214.7	2	3.0	0.00
C206	214.7	2	a	214.7	2	2.9	0.00
C207	214.5	2	a	214.5	2	3.0	0.00
C208	214.5	2	a	214.5	2	3.7	0.00
R101	617.1	8	0.2	617.1	8	5.0	0.00
R102	547.1	7	0.5	547.1	7	3.0	0.00
R103	454.6	5	0.9	454.6	5	4.4	0.00
R104	416.9	4	1.3	416.9	4	2.7	0.00
R105	530.5	6	0.3	530.5	6	4.8	0.00
R106	465.4	3	1.3	465.4	3	2.8	0.00
R107	424.3	4	1.5	424.3	4	3.1	0.00
R108	397.3	4	18.6	397.3	4	2.7	0.00
R109	441.3	5	0.4	441.3	5	2.7	0.00
R110	444.1	4	5.9	444.1	4	3.9	0.00
R111	428.8	5	2.0	428.8	5	3.9	0.00
R112	393.0	4	14.6	393	4	4.9	0.00
R201	463.3	4	1.9	463.3	4	2.9	0.00
R202	410.5	4	18.8	410.5	4	2.9	0.00
R203	391.4	3	355.4	391.4	3	5.1	0.00
R204	355.0	2	b	355	2	3.7	0.00
R205	393.0	3	21.4	393	3	2.8	0.00
R206	374.4	3	988.7	374.4	3	2.7	0.00
R207	361.6	3	9296.8	361.6	3	2.7	0.00
R208	328.2	1	b	328.2	1	2.8	0.00
R209	370.7	2	1991.4	370.7	2	5.3	0.00
R210	404.6	3	2417.7	404.6	3	6.7	0.00
R211	350.9	2	27,998.8	350.9	2	5.8	0.00
RC101	461.1	4	0.7	461.1	4	4.1	0.00
RC102	351.8	3	0.6	351.8	3	5.9	0.00
RC103	332.8	3	4.0	332.8	3	5.2	0.00
RC104	306.6	3	6.9	306.6	3	4.5	0.00
RC105	411.3	4	3.1	411.3	4	5.9	0.00
RC106	345.5	3	7.7	345.5	3	5.2	0.00
RC107	298.3	3	0.7	298.3	3	9.2	0.00
RC108	294.5	3	4.3	294.5	3	10.4	0.00
RC201	360.2	3	a	360.2	3	6.0	0.00
RC202	338.0	3	6386.7	338	3	3.1	0.00
RC203	326.9	3	b	326.9	3	3.2	0.00
RC204	299.7	3	b	299.7	3	9.4	0.00
RC205	338.0	3	57.9	338	3	3.8	0.00
RC206	324.0	3	82,387.5	324	3	3.8	0.00
RC207	298.3	3	220,991.2	298.3	3	7.3	0.00
RC208	269.1	2	b	269.1	2	6.6	0.00
a = running time set to 2 until 25,000 s [53]. b = no mention of specific computing time [54]. Gap = (TD of SARS − TD of optimal solution)/TD of optimal solution × 100%.
