

VEHICLE
NUMBER     CAPACITY
  -         80

CUSTOMER
NO.   XCOORD. YCOORD. READY    DUE	SERVICE TIME
 
0	35	35	0	230		0
1	41	49	161	171		10
2	35	17	50	60		7
3	55	45	116	126		13
4	55	20	149	159		19
5	15	30	34	44		26
6	25	30	99	109		3
7	20	50	81	91		5
8	10	43	95	105		9
9	55	60	97	107		16
10	30	60	124	134		16
11	20	65	67	77		12
12	50	35	63	73		19
13	30	25	159	169		23
14	15	10	32	42		20
15	30	5	61	71		8
16	10	20	75	85		19
17	5	30	157	167	
18	20	40	87	97		12
19	15	60	76	86		17
20	45	65	126	136		9
21	45	20	62	72		11
22	45	10	97	107		18
23	55	5	68	78		29
24	65	35	153	163		3
25	65	20	172	182		6
26	45	30	132	142		17
27	35	40	37	47		16
28	41	37	39	49		16
29	64	42	63	73		9
30	40	60	71	81		21
31	31	52	50	60		27
32	35	69	141	151		23
33	53	52	37	47		11
34	65	55	117	127		14
35	63	65	143	153		8
36	2	60	41	51		5
37	20	20	134	144		8
38	5	5	83	93		16
39	60	12	44	54		31

