STREET:
[(1  2) 1
 (1  3) 1
 (2 39) 1
 (2 41) 1
 (3  4) 1
 (3 11) 1
 (3 12) 1
 (3 16) 1
 (4  5) 1
 (4  6) 1
 (4  9) 1
 (6  7) 1
 (6  8) 1
 (9 10) 1
(11 21) 1
(12 13) 1
(12 15) 1
(13 14) 1
(14 15) 1
(14 18) 1
(15 16) 1
(15 19) 1
(16 20) 1
(17 18) 1
(18 19) 1
(19 20) 1
(20 21) 1
(21 22) 1
(22 23) 1
(22 25) 1
(23 32) 1
(24 25) 1
(25 26) 1
(25 30) 1
(26 27) 1
(26 28) 1
(28 29) 1
(30 31) 1
(31 32) 1
(31 33) 1
(32 38) 1
(32 39) 1
(33 34) 1
(33 37) 1
(34 35) 1
(35 36) 1
(37 38) 1
(37 43) 1
(38 40) 1
(39 40) 1
(40 41) 1
(41 42) 1
(43 44) 1
(44 49) 1
(44 45) 1
(45 46) 1
(45 47) 1
(47 48) 1]

POS: [[30 5] [83 24] [10 42] [22 38] [39 41] [25 32] [40 35] [30 20] [21 44] [30 48]
      [30 51] [10 52] [9 56] [9 68] [13 64] [18 60] [12 79] [15 77] [19 74] [23 70]
      [35 61] [40 65] [42 66] [28 93] [45 79] [49 84] [52 90] [58 87] [60 81] [50 71]
      [60 75] [62 65] [70 82] [66 92] [72 96] [68 105] [79 86] [84 75] [72 60] [88 68]
      [95 70] [102 92] [92 92] [90 97] [86 106] [76 107] [90 106] [89 109] [95 99]]
